Location,Longitude,Latitude,Type
Edwards Elementary,-93.6854,42.01546,Elementary
Fellows Elementary,-93.628046,42.042803,Elementary
Meeker Elementary,-93.61422,42.041098,Elementary
Mitchell Elementary,-93.601053,41.990308,Elementary
Sawyer Elementary,-93.677066,42.033903,Elementary
Northwood Preschool,-93.618602,42.050258,Preschool
Ames Middle School,-93.671331,42.013433,Middle School
Ames High School,-93.635555,42.040092,High School
Iowa State University,-93.64326,42.03054,University
Mary Greeley Medical Center,-93.63587,42.01963,Hospital