vif(model),GVIF,df,GVIF^(1/(2*Df)),,,,,,
GrLivArea ,4.4,1 ,2.10,,,,,,
TotalFinBsmtSF,1.57,1 ,1.25, ,,,   ,,
TotalOutdoorSF,1.39,1 ,1.18, ,,,,,
LotArea ,1.48,1 ,1.22, ,,,,,
BedroomAbvGr,2.33,1 ,1.53, ,,, ,   ,
MSSubClass ,98.42,14 ,1.18, ,,,,,
MSZoning ,37.02,6 ,1.35, ,,,,,
OverallQual ,3.42,1 ,1.85, ,,,   ,,
OverallCond ,1.48,1 ,1.22, ,,,,,
Neighborhood ,2261.42,27 ,1.15, ,,,,,
KitchenQual ,2.2,1 ,1.48,   ,,,,,
SaleCondition ,1.51,5 ,1.04, ,,,,,
YrSold,1.21,4 ,1.02, ,,,,,
CentralAir,1.51,1 ,1.23, ,,, , ,   
Fireplaces,1.72,1 ,1.31, ,,,   ,,
HasPool ,1.06,1 ,1.03, ,,,   ,,
IsNearNegativeCondition   ,1.12,1 ,1.06, ,,, ,   ,
LandContour ,1.87,3 ,1.11,,,,,,
,,,, , ,   ,,,